,am_score,bpe_lm_score,diff_config,diffusion_score,first_pass_length_penalty,first_pass_score,ngram_lm_score,ngram_lm_score_non_oov,ngram_lm_score_oov,second_pass_score,wer
2427,-0.8020456766480437,1.4448248985712262,e330_rk45_n10,0.005176273644175769,0.0,-0.6806729861445019,-1.6362145799909449,-0.09342895487525336,-0.1565738185737879,0.0,0.10017223179065504
5505,-0.08804487317487902,0.7533504940513315,e330_euler10_n10,0.0022172498198009616,-2.3351001502549877,-0.0339717608337418,-1.7201264464327357,-0.8187331517849687,-0.018454033239872707,-1.061955507293365,0.10017223179065504
3947,-0.45089586944911403,1.023320100016274,e330_euler10_n10,0.0027723813553419945,-2.2439010589076336,-1.301343469350836,-0.8546268483785113,-0.08695180958135851,-0.3099528075301031,-0.7514760384791026,0.10017223179065504
5923,-0.4358318981282478,1.1914478088416134,e330_euler10_n10,0.0,-0.17877524835511063,0.0,-1.6590538153596772,-0.5758346964550346,-0.34781219209353736,0.0,0.10017223179065504
1977,-0.08804487317487902,0.7533504940513315,e330_euler10_n10,0.0022172498198009616,-2.3351001502549877,-0.0339717608337418,-1.7201264464327357,-0.8187331517849687,-0.018454033239872707,-1.061955507293365,0.10017223179065504
4333,-0.5747465535743469,1.3928711600709331,e330_euler10_n10,0.002516111012447321,-1.8876150465244321,-0.07420897408157162,-0.709000402778865,-0.7431911440893187,-0.7669235430150462,-1.0133660121481123,0.10017223179065504
4978,-0.08804487317487902,0.7533504940513315,e330_euler10_n10,0.0022172498198009616,-2.3351001502549877,-0.0339717608337418,-1.7201264464327357,-0.8187331517849687,-0.018454033239872707,-1.061955507293365,0.10017223179065504
5365,-0.29026615727991667,0.1995651329650846,e330_euler10_n10,0.0021481011315579394,-2.3933830327874412,-0.36800712028719346,-1.763805294527359,-0.9583946168929524,-0.0018554658998393286,-1.401085797748347,0.10017223179065504
3300,-0.41764273657924744,1.924382398380887,e330_euler10_n10,0.0015563692148324452,-2.265077651495981,-0.7182704874818757,-1.559234504028141,-0.11563947277830994,-0.4855417428374678,0.0,0.10017223179065504
732,-0.8528222244391392,1.7770696247377895,e330_euler10_n10,0.0019784440296960475,-1.0594847569896948,0.0,-1.8278505363560267,-0.49445378450726335,-0.7055224593059908,0.0,0.10017223179065504
4538,-0.29026615727991667,0.1995651329650846,e330_euler10_n10,0.0021481011315579394,-2.3933830327874412,-0.36800712028719346,-1.763805294527359,-0.9583946168929524,-0.0018554658998393286,-1.401085797748347,0.10017223179065504
1883,-0.29026615727991667,0.1995651329650846,e330_euler10_n10,0.0021481011315579394,-2.3933830327874412,-0.36800712028719346,-1.763805294527359,-0.9583946168929524,-0.0018554658998393286,-1.401085797748347,0.10017223179065504
3606,-0.45089586944911403,1.023320100016274,e330_euler10_n10,0.0027723813553419945,-2.2439010589076336,-1.301343469350836,-0.8546268483785113,-0.08695180958135851,-0.3099528075301031,-0.7514760384791026,0.10017223179065504
5909,-0.9297638895363936,1.0222076442467767,e330_euler10_n10,0.0,-0.46847911782008556,0.0,-0.9559614215581813,-0.5412578418518856,-0.3926458261781637,0.0,0.10017223179065504
2212,-0.6183888478872963,1.492441491643913,e330_rk45_n10,0.005770313194540973,0.0,-0.751013383333136,-1.672595140200808,-0.09468830643197496,-0.10437092132935172,0.0,0.10022779043280182
2356,-0.1213486197571948,1.5014288547281192,e330_rk45_n10,0.00478561402834945,0.0,-0.776355987740609,-1.8127681682335182,-0.06006531195337067,-0.10624581171220865,0.0,0.10022779043280182
3964,-0.2361746939805591,1.133475766865271,e330_euler10_n10,0.002727987919243475,-1.8849667238743235,-0.22082211616087907,-0.9351020658938206,-0.0519812124355294,-0.2959676783016078,-0.4945469015534816,0.10022779043280182
2200,-0.7634762828164331,1.5154930556239543,e330_rk45_n10,0.0055570558586101534,0.0,-0.6905515483548111,-1.7501828528204226,-0.029027363949065785,-0.002787344743599346,0.0,0.10022779043280182
3692,-0.2361746939805591,1.133475766865271,e330_euler10_n10,0.002727987919243475,-1.8849667238743235,-0.22082211616087907,-0.9351020658938206,-0.0519812124355294,-0.2959676783016078,-0.4945469015534816,0.10022779043280182
5856,-0.45839908953420416,1.03842426254911,e330_euler10_n10,0.0,-1.9604936781102944,0.0,-1.9795204009346192,-0.3669400622340979,-0.45621151177602415,0.0,0.10022779043280182
957,-0.9157136205765343,1.0175545449588452,e330_euler10_n10,0.002013234394595237,-1.3202974903542724,0.0,-1.1664517401529715,-0.49354043303659656,-0.7029100552135593,0.0,0.10022779043280182
4364,-0.6451522052021754,1.4058555037432217,e330_euler10_n10,0.0029140460494903905,-2.8013643381446487,-0.10296341710527553,-1.1089436204567236,-0.6465931856190829,-0.7005050572382427,-0.5584524021842374,0.10022779043280182
3105,-0.1767736891776546,1.4240771067614544,e330_euler50_n10,0.000712119505286136,-2.168597353309972,-0.3058046991963308,-1.2109073219988482,-0.6061304408403403,-0.2036036557657154,0.0,0.10028334907494861
922,-0.5807326429970427,1.1117110914138515,e330_euler10_n10,0.001883978999674309,-1.0193417090844228,0.0,-2.0484646716844073,-0.5044279891458789,-0.5703751123545373,0.0,0.10028334907494861
5915,-0.9692381715146787,1.8096917469776725,e330_euler10_n10,0.0,-1.857498399101401,0.0,-1.830487055722934,-0.5117115373789412,-0.7636850943909614,0.0,0.10028334907494861
5639,-0.8082506737961699,1.4462674316955122,e330_euler10_n10,0.0,-1.008844495500096,0.0,-1.245226166610838,-0.7785563761741725,-0.1812841540368363,0.0,0.10028334907494861
2428,-0.696507082116088,1.422219230181022,e330_euler50_n10,0.00702682692481316,0.0,-1.4115462428704046,-1.6667312913844816,-0.4703582017265192,-0.6994481024191284,0.0,0.10028334907494861
6051,-0.8849599097878935,1.1098163861817578,e330_euler10_n10,0.0,-0.8029999666827616,0.0,-0.8604641683476445,-0.34651261802359057,-0.28292883124097745,0.0,0.10033890771709539
3499,-0.6478205461270264,1.44244368005642,e330_euler10_n10,0.002893072685824269,-0.7402732756626367,-0.09698694871436585,-0.3518137411937876,-0.25567459627331046,-0.9378007786502265,-1.4622130665875464,0.10033890771709539
4987,-0.6302949010791252,1.376623577817443,e330_euler10_n10,0.002952313989351516,-2.9518213301125282,-0.05224893996621804,-0.5253130071190187,-0.625422102402277,-0.2655895327084171,-1.163310148466874,0.10033890771709539
1062,-0.4914256408098186,1.1503106465315993,e330_rk45_n10,0.0014566885309279074,-2.4556749036966865,0.0,-2.0903437435675865,-0.39937996922625335,-0.513313789338317,0.0,0.10033890771709539
4995,-0.5902842076095492,1.4448148346832808,e330_euler10_n10,0.0026997940547288167,-2.710493362785913,-0.09790585531742446,-1.8889700886521685,-0.6974201885754571,-0.7889821485081185,-0.03046443143729205,0.10033890771709539
5686,-0.9827419499453368,1.063414952445704,e330_euler10_n10,0.0,-1.276090060210213,0.0,-1.1496443698152712,-0.08361402644680749,-0.5032893107657032,0.0,0.10033890771709539
821,-0.8883034812778909,1.1656829535512294,e330_euler10_n10,0.001989575308167946,-1.2131461073065695,0.0,-1.2678654986060067,-0.47478604935511076,-0.6866892628229431,0.0,0.10039446635924218
823,-0.5575611671997956,1.0980653308369797,e330_euler10_n10,0.0019705341648232604,-1.2346261841702284,0.0,-1.9917376282763946,-0.4954955305195848,-0.7233405684007428,0.0,0.10039446635924218
